No. (NEW),Nama Perguruan Tinggi (NEW),Program Studi (NEW),Akreditasi (NEW REVISI),Program Studi  Kategori (NEW),Jenis Perguruan Tinggi (NEW),Provinsi (NEW),Lokasi (NEW),Daya Tampung 2025/2026 (NEW),Biaya UKT Terendah (REVISI),Biaya UKT Tertinggi (REVISI),Kisaran Biaya UKT (NEW),Biaya Lainnya Terendah (REVISI),Biaya Lainnya Tertinggi (REVISI)
105,Universitas Lampung,Pendidikan Dokter,A,Kedokteran,Negeri,Lampung,Lampung,193,1000000,12380000,Rp1.000.000 - Rp12.380.000,0,0
106,Universitas Kristen Krida Wacana,Kedokteran,Baik Sekali,Kedokteran,Swasta,DKI Jakarta,Jakarta Barat,170,40000000,40000000,Rp40.000.000,350000000,350000000
107,Universitas Kristen Krida Wacana,Keperawatan,Baik,Keperawatan,Swasta,DKI Jakarta,Jakarta Barat,12,9000000,9000000,Rp9.000.000,10000000,10000000
108,Universitas Kristen Indonesia,Kedokteran,Unggul ,Kedokteran,Swasta,DKI Jakarta,Jakarta Timur,205,25500000,25500000,Rp25.500.000,259200000,310950000
109,Universitas Negeri Surabaya,Kedokteran,Baik,Kedokteran,Negeri,Jawa Timur,Surabaya,50,1000000,30000000,Rp1.000.000 - Rp30.000.000,0,0
110,Universitas Negeri Surabaya,Fisioterapi,Baik,Fisioterapi,Negeri,Jawa Timur,Surabaya,50,500000,8000000,Rp500.000 - Rp8.000.000,0,0
111,Universitas Negeri Surabaya,Kebidanan,Baik,Kebidanan,Negeri,Jawa Timur,Surabaya,50,500000,8000000,Rp500.000 - Rp8.000.001,0,0
112,Universitas Negeri Surabaya,Keperawatan,Baik,Keperawatan,Negeri,Jawa Timur,Surabaya,50,500000,8000000,Rp500.000 - Rp8.000.002,0,0
113,Universitas Prima Indonesia,Pendidikan Dokter,A,Kedokteran,Swasta,Sumatera Utara,Medan,187,25000000,30000000,Rp25.000.000 - Rp30.000.000,0,0
114,Universitas Prima Indonesia,Pendidikan Dokter Gigi,Baik Sekali,Kedokteran Gigi,Swasta,Sumatera Utara,Medan,58,20000000,25000000,Rp20.000.000 - Rp25.000.000,0,0
115,Universitas Islam Sultan Agung,Pendidikan Dokter,Unggul ,Kedokteran,Swasta,Jawa Tengah,Semarang,260,38600000,38600000,Rp38.600.000,290000000,440000000
116,Universitas Batam,Pendidikan Dokter,Unggul ,Kedokteran,Swasta,Kepulauan Riau,Batam,100,14000000,21675000,Rp14.500.000 - Rp21.675.000,250000,270000000
117,Universitas Batam,Ilmu Keperawatan,Baik Sekali,Keperawatan,Swasta,Kepulauan Riau,Batam,70,14500000,21675000,Rp14.500.000 - Rp21.675.000,600000,270000000
118,Universitas Batam,Kebidanan,Baik Sekali,Kebidanan,Swasta,Kepulauan Riau,Batam,20,2800000,4725000,Rp2.800.000 - Rp4.725.000,250000,21000000
119,Universitas Cendrawasih,Pendidikan Dokter,Baik Sekali,Kedokteran,Negeri,Papua,Jayapura,40,1000000,10000000,Rp1.000.000 - Rp10.000.000,0,0
120,Universitas Cendrawasih,Ilmu Keperawatan,Baik Sekali,Keperawatan,Negeri,Papua,Jayapura,20,1000000,5000000,Rp1.000.000 - Rp5.000.000,0,0
121,Universitas Haluoleo,Pendidikan Dokter,Baik Sekali,Kedokteran,Negeri,Sulawesi Tenggara,Kendari,48,500000,20000000,Rp500.000 - Rp20.000.000,0,0
122,Universitas Kristen Duta Wacana,Kedokteran,Baik Sekali,Kedokteran,Swasta,DI Yogyakarta,Yogyakarta,60,15500000,15500000,Rp15.500.000,0,0
123,Universitas Pattimura,Pendidikan Dokter,Baik Sekali,Kedokteran,Negeri,Maluku,Ambon,60,12500000,12500000,Rp12.500.000,0,0
124,Universitas Tanjungpura,Kedokteran,Baik Sekali,Kedokteran,Negeri,Kalimantan Barat,Pontianak,55,500000,20000000,Rp500.000 - Rp20.000.000,0,0
125,Universitas Tanjungpura,Keperawatan,Baik Sekali,Keperawatan,Negeri,Kalimantan Barat,Pontianak,73,500000,14960000,Rp500.000 - Rp14.960.000,0,0
