No. (NEW),Nama Perguruan Tinggi (NEW),Program Studi (NEW),Akreditasi (NEW REVISI),Program Studi  Kategori (NEW),Jenis Perguruan Tinggi (NEW),Provinsi (NEW),Lokasi (NEW),Daya Tampung 2025/2026 (NEW),Biaya UKT Terendah (REVISI),Biaya UKT Tertinggi (REVISI),Kisaran Biaya UKT (NEW),Biaya Lainnya Terendah (REVISI),Biaya Lainnya Tertinggi (REVISI)
57,Universitas Mulawarman,Kedokteran Gigi,Baik Sekali,Kedokteran Gigi,Negeri,Kalimantan Timur,Samarinda,60,500000,25000000,Rp500.000 - Rp25.000.000,100000000,250000000
58,Universitas Mulawarman,Keperawatan,Baik,Keperawatan,Negeri,Kalimantan Timur,Samarinda,15,500000,9000000,Rp500.000 - Rp9.000.000,15000000,30000000
59,Universitas Islam Al-Azhar,Pendidikan Dokter,Baik Sekali,Kedokteran,Swasta,Nusa Tenggara Barat,Mataram,153,17500000,17500000,Rp17.500.000 - Rp17.500.000,335000000,345000000
60,Universitas Gadjah Mada,Kedokteran,Unggul ,Kedokteran,Negeri,DI Yogyakarta,Yogyakarta,175,0,24700000,Rp0 - Rp24.700.000,30000000,30000000
61,Universitas Gadjah Mada,Ilmu Keperawatan,Unggul ,Keperawatan,Negeri,DI Yogyakarta,Yogyakarta,120,0,17300000,Rp0 - Rp13.000.000,30000000,30000000
62,Universitas Gadjah Mada,Gizi Kesehatan,Unggul ,Gizi,Negeri,DI Yogyakarta,Yogyakarta,100,0,12300000,Rp0 - Rp12.300.000,30000000,30000000
63,Universitas Nahdlatul Ulama Surabaya,Pendidikan Dokter,Unggul ,Kedokteran,Swasta,Jawa Timur,Surabaya,142,28000000,31000000,Rp28.000.000 - Rp31.000.000,290000000,330000000
64,Universitas Indonesia,Pendidikan Dokter,A,Kedokteran,Negeri,DKI Jakarta,Jakarta,150,500000,20000000,Rp500.000 - Rp20.000.000,122870000,161670000
65,Universitas Hasanuddin,Kedokteran ,Unggul ,Kedokteran,Negeri,Sulawesi Selatan,Makassar,131,500000,41120000,Rp500.000 - Rp41.120.000,250000000,325000000
66,Universitas Hasanuddin,Psikologi,A,Psikologi,Negeri,Sulawesi Selatan,Makassar,53,500000,23242000,Rp500.000 - Rp23.242.000,90000000,115000000
67,Universitas Hasanuddin,Kedokteran Hewan,Unggul ,Kedokteran Hewan,Negeri,Sulawesi Selatan,Makassar,65,500000,37831000,Rp500.000 - Rp37.831.000,115000000,150000000
68,Universitas Airlangga,Kebidanan,Unggul ,Kebidanan,Negeri,Jawa Timur,Surabaya,100,500000,25000000,Rp500.000 - Rp25.000.000,15000000,Rp225.000.00
69,Universitas Airlangga,Kedokteran,Unggul ,Kedokteran,Negeri,Jawa Timur,Surabaya,300,500000,13500000,Rp500.000 - Rp13.500.000,8000000,55000000
70,Universitas Muslim Indonesia,Pendidikan Dokter,Unggul ,Kedokteran,Swasta,Sulawesi Selatan,Makassar,110,25000000,25000000,Rp25.000.000,395500000,395500000
71,Universitas Muhammadiyah Makassar,Pendidikan Dokter,A,Kedokteran,Swasta,Sulawesi Selatan,Makassar,285,19500000,19500000,Rp19.500.000 - Rp19.500.000,310500000,310500000
